time,frequency,confidence
3.820,299.585,0.919822
3.824,299.954,0.894017
3.828,300.764,0.873981
3.832,301.841,0.836441
3.836,303.855,0.735402
3.840,306.638,0.627266
3.844,308.761,0.653342
3.848,312.047,0.620843
3.852,313.785,0.597430
3.856,313.024,0.466599
3.860,306.249,0.475117
3.864,303.129,0.603082
3.868,303.323,0.549908
3.872,330.741,0.468946
3.876,370.551,0.414798
3.880,372.601,0.690148
3.884,372.045,0.629894
3.888,373.022,0.648460
3.892,373.351,0.779787
3.896,373.319,0.801281
3.900,373.354,0.761629
3.904,374.099,0.689513
3.908,374.331,0.774144
3.912,374.460,0.790262
3.916,374.565,0.788064
3.920,374.698,0.803340
3.924,374.715,0.886396
3.928,374.891,0.898212
3.932,374.711,0.914092
3.936,374.665,0.918788
3.940,374.472,0.926268
3.944,374.592,0.932067
3.948,374.336,0.932548
3.952,374.197,0.929897
3.956,374.092,0.926061
3.960,374.051,0.927055
3.964,374.028,0.928857
3.968,373.945,0.927126
3.972,373.997,0.927455
3.976,373.955,0.926061
3.980,373.978,0.925087
3.984,373.861,0.923837
3.988,373.910,0.925212
3.992,373.890,0.923429
3.996,373.919,0.925615
4.000,373.845,0.923410
4.004,373.906,0.925661
4.008,373.822,0.923424
4.012,373.942,0.927363
4.016,373.903,0.926561
4.020,374.070,0.933549
4.024,373.956,0.930502
4.028,374.038,0.933457
4.032,373.992,0.932416
4.036,374.100,0.937632
4.040,374.014,0.933386
4.044,374.055,0.935644
4.048,373.955,0.932267
4.052,374.017,0.934107
4.056,373.909,0.928727
4.060,373.993,0.932745
4.064,373.932,0.928318
4.068,374.055,0.933217
4.072,373.995,0.930909
4.076,374.139,0.937339
4.080,374.128,0.934748
4.084,374.253,0.940601
4.088,374.215,0.938246
4.092,374.317,0.942654
4.096,374.287,0.940009
4.100,374.373,0.944593
4.104,374.346,0.942022
4.108,374.426,0.945782
4.112,374.362,0.943218
4.116,374.428,0.946472
4.120,374.367,0.943615
4.124,374.403,0.946735
4.128,374.333,0.943372
4.132,374.359,0.945886
4.136,374.303,0.942955
4.140,374.327,0.945413
4.144,374.286,0.942977
4.148,374.318,0.945209
4.152,374.265,0.943110
4.156,374.316,0.945029
4.160,374.273,0.943659
4.164,374.342,0.945607
4.168,374.314,0.944762
4.172,374.387,0.946806
4.176,374.358,0.945887
4.180,374.428,0.948236
4.184,374.381,0.946402
4.188,374.437,0.948711
4.192,374.390,0.947036
4.196,374.443,0.948806
4.200,374.368,0.946410
4.204,374.377,0.947726
4.208,374.301,0.945621
4.212,374.311,0.946572
4.216,374.228,0.943814
4.220,374.233,0.944885
4.224,374.152,0.942124
4.228,374.200,0.943803
4.232,374.120,0.940724
4.236,374.191,0.942663
4.240,374.109,0.940089
4.244,374.206,0.942284
4.248,374.123,0.939393
4.252,374.215,0.941654
4.256,374.127,0.939533
4.260,374.241,0.941999
4.264,374.140,0.939860
4.268,374.219,0.941123
4.272,374.129,0.939713
4.276,374.201,0.940354
4.280,374.129,0.939312
4.284,374.154,0.938395
4.288,374.099,0.937746
